,Thai_res_id,ID,Name,Category
0,4b94a4a2f964a520787f34e3,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant,Japanese Restaurant
1,4b94a4a2f964a520787f34e3,4b7993cbf964a520c8022fe3,Liebman's Kosher Deli,Deli / Bodega
2,4b94a4a2f964a520787f34e3,590e5d2ce96d0c61de2dcf1d,Cocina Chente,Mexican Restaurant
3,4b94a4a2f964a520787f34e3,4b0b311af964a520642e23e3,Palace of Japan,Japanese Restaurant
4,4b94a4a2f964a520787f34e3,4f653ac0e4b0bf1012abaf2d,Tin Marin,Tapas Restaurant
5,4b94a4a2f964a520787f34e3,4f2c66f7e4b0ccfb1df00308,Yo-Burger,Burger Joint
6,4b94a4a2f964a520787f34e3,4bf865a24a67c928215e25cf,Pizza Chef,Pizza Place
7,4b94a4a2f964a520787f34e3,4c6994e3c946e21eb28eea8e,Salvatore's of Soho,Pizza Place
8,4b94a4a2f964a520787f34e3,5567b581498eec1648966387,Moss Café: Farm-To-Table Restaurant and Coffee Shop,Café
9,4b94a4a2f964a520787f34e3,3fd66200f964a5203ce31ee3,An Beal Bocht Cafe,Bar
10,4b94a4a2f964a520787f34e3,4bc39d1d2a89ef3bdf49f588,Greek Express,Greek Restaurant
11,4b94a4a2f964a520787f34e3,59dbf19108f521354f91e748,The Hill Bistro,Restaurant
12,4b94a4a2f964a520787f34e3,4e5d1a53b0fbc0acda3c5b8a,Bell Tower Park,Park
13,4b94a4a2f964a520787f34e3,52f66c1b498ecf329becd4a5,Dunkin',Donut Shop
14,4b94a4a2f964a520787f34e3,58935fd798f8aa7c14662653,Kingsbridge Social Club,Pizza Place
15,4b94a4a2f964a520787f34e3,4b0aa321f964a520db2523e3,Rolen Bagels,Bagel Shop
16,4b94a4a2f964a520787f34e3,55bfeb40498e061fef3632ca,European Wax Center,Health & Beauty Service
17,4b94a4a2f964a520787f34e3,4b79cc46f964a520c5122fe3,Tibbett Diner,Diner
18,4b94a4a2f964a520787f34e3,55297008498e9286460da191,Leche y Miel,Latin American Restaurant
19,4b94a4a2f964a520787f34e3,4c268383136d20a15a83e561,Riverdale Ave,Plaza
20,4b94a4a2f964a520787f34e3,4af8b2c0f964a520460f22e3,Garden Gourmet Market,Gourmet Shop
21,4b94a4a2f964a520787f34e3,53683f34498e6d121eeecbdf,Blackstone Bar & Grill,Bar
22,4b94a4a2f964a520787f34e3,4bf9ecdd5efe2d7fb20b6d34,Chase Bank,Bank
23,4b94a4a2f964a520787f34e3,4bb114c4f964a520b9783ce3,Sam's Pizza,Pizza Place
24,4b94a4a2f964a520787f34e3,4acec156f964a520d3d120e3,Bronx Alehouse,Beer Bar
25,4b94a4a2f964a520787f34e3,505223ade4b0252d0552ef9a,Tiny's Diner,Diner
26,4b94a4a2f964a520787f34e3,4bd1ecfab221c9b61a85d6d0,Riverdale Vintner,Wine Shop
27,4b94a4a2f964a520787f34e3,5660c06b498e4003dba169a5,Mon Amour Coffee & Wine,Coffee Shop
28,4b94a4a2f964a520787f34e3,49d73e8ff964a5201f5d1fe3,Starbucks,Coffee Shop
29,4b94a4a2f964a520787f34e3,4b638b04f964a52036822ae3,Goodfella's Pizza,Pizza Place
30,4b94a4a2f964a520787f34e3,4bd8e98811dcc928f865f833,El Malecon,Caribbean Restaurant
31,4b94a4a2f964a520787f34e3,4e74075e15209522b13b5637,The Putnam Trail,Trail
32,4b94a4a2f964a520787f34e3,55568a71498e3524400a356e,Smashburger,Burger Joint
33,4b94a4a2f964a520787f34e3,56310a2c498e97016b257476,BJ's  Wholesale Club,Warehouse Store
34,4b94a4a2f964a520787f34e3,4db45c96fa8c350240e35919,Metate,Mexican Restaurant
35,4b94a4a2f964a520787f34e3,5217dd2811d2d06ccafb77d3,Estrellita Poblana V,Mexican Restaurant
36,4b94a4a2f964a520787f34e3,4befee5dd4e4d13addab15a7,Bagel Corner,Bagel Shop
37,4b94a4a2f964a520787f34e3,4cab0bf1d971b1f7873327e1,S & S Cheesecake,Bakery
38,4b94a4a2f964a520787f34e3,4b3789f3f964a520f34125e3,Riverdale Diner,Diner
39,4b94a4a2f964a520787f34e3,4bf5bde194b2a593503bacee,Rite Aid,Pharmacy
40,4b94a4a2f964a520787f34e3,553d5376498e322eb4d37a1b,Chipotle Mexican Grill,Mexican Restaurant
41,4b94a4a2f964a520787f34e3,55aaee4d498e3cbb70e625d6,Bella Notte Pizzeria,Italian Restaurant
42,4b94a4a2f964a520787f34e3,4bdc88c92a3a0f47144ab3b6,Carvel Ice Cream,Ice Cream Shop
43,4b94a4a2f964a520787f34e3,4d9a37d4d97ba1430a07346b,Loeser's Delicatessen,Sandwich Place
44,4b94a4a2f964a520787f34e3,4b326534f964a520880a25e3,New Riverdale Deli,Sandwich Place
45,4b94a4a2f964a520787f34e3,4ca785a597c8a1cd7e577ba5,El Economico Restaurant,Spanish Restaurant
46,4b94a4a2f964a520787f34e3,51d2ee9b5a2347d14627b779,Buffalo Wild Wings,Wings Joint
47,4b94a4a2f964a520787f34e3,4de4f007d4c0704405a670ac,Capital One Bank,Bank
48,4b94a4a2f964a520787f34e3,4b228503f964a520394824e3,Fenwick's Bar & Grill,Bar
49,4a739e29f964a520f5dc1fe3,4a725fa1f964a520f6da1fe3,TCR The Club of Riverdale,Tennis Stadium
50,4a739e29f964a520f5dc1fe3,4bc5d9464a9aa5933e00077b,Inwood Hill Park Peninsula,Scenic Lookout
51,4a739e29f964a520f5dc1fe3,49caa774f964a520d1581fe3,Indian Road Café,Café
52,4a739e29f964a520f5dc1fe3,4b79cc46f964a520c5122fe3,Tibbett Diner,Diner
53,4a739e29f964a520f5dc1fe3,4c58d06dec2520a1e4bf4d12,Henry Hudson Memorial Park,Park
54,4a739e29f964a520f5dc1fe3,49fe029cf964a5205d6f1fe3,Inwood Hill Park,Park
55,4a739e29f964a520f5dc1fe3,4b4429abf964a52037f225e3,Arturo's,Pizza Place
56,4a739e29f964a520f5dc1fe3,4bce0773c564ef3b6686edf0,Baker Athletic Complex,Athletics & Sports
57,4a739e29f964a520f5dc1fe3,4baf59e8f964a520a6f93be3,Bikram Yoga,Yoga Studio
58,4a739e29f964a520f5dc1fe3,4bb114c4f964a520b9783ce3,Sam's Pizza,Pizza Place
59,4a739e29f964a520f5dc1fe3,4b7993cbf964a520c8022fe3,Liebman's Kosher Deli,Deli / Bodega
60,4a739e29f964a520f5dc1fe3,4ff0dba5e4b0b61f2aaeac0e,Inwood Lookout,Scenic Lookout
61,4a739e29f964a520f5dc1fe3,4b0b311af964a520642e23e3,Palace of Japan,Japanese Restaurant
62,4a739e29f964a520f5dc1fe3,52dd52bb498e35b966482afb,Muscota Marsh,Park
63,4a739e29f964a520f5dc1fe3,55f81cd2498ee903149fcc64,Starbucks,Coffee Shop
64,4a739e29f964a520f5dc1fe3,4bf865a24a67c928215e25cf,Pizza Chef,Pizza Place
65,4a739e29f964a520f5dc1fe3,5567b581498eec1648966387,Moss Café: Farm-To-Table Restaurant and Coffee Shop,Café
66,4a739e29f964a520f5dc1fe3,5217dd2811d2d06ccafb77d3,Estrellita Poblana V,Mexican Restaurant
67,4a739e29f964a520f5dc1fe3,4c991196db10b60c9df7866d,Indian Road Playground,Playground
68,4a739e29f964a520f5dc1fe3,4b5357adf964a520319827e3,Dunkin',Donut Shop
69,4a739e29f964a520f5dc1fe3,52f66c1b498ecf329becd4a5,Dunkin',Donut Shop
70,4a739e29f964a520f5dc1fe3,4c86a086de50952135af2583,Rite Aid,Pharmacy
71,4a739e29f964a520f5dc1fe3,4d9a37d4d97ba1430a07346b,Loeser's Delicatessen,Sandwich Place
72,4a739e29f964a520f5dc1fe3,4ba92cacf964a52072113ae3,Chase Bank,Bank
73,4a739e29f964a520f5dc1fe3,55f751ca498eacc0307d1cfe,Blink Fitness,Gym
74,4a739e29f964a520f5dc1fe3,4bebf782a9900f47fb5c1840,Park Terrace Deli,Deli / Bodega
75,4a739e29f964a520f5dc1fe3,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,Seafood Restaurant
76,4a739e29f964a520f5dc1fe3,546d31ca498e561c698a0320,T.J. Maxx,Department Store
77,4a739e29f964a520f5dc1fe3,4b11bbc1f964a520598323e3,Homer's Dog Run,Dog Run
78,4a739e29f964a520f5dc1fe3,582e5d1c0a4307645da0768c,Brown Sugar,Cuban Restaurant
79,4a739e29f964a520f5dc1fe3,4cf6ae55d3a8a1cd71a9d243,Astral Fitness & Wellness Center,Gym
80,4a739e29f964a520f5dc1fe3,4b9c9c43f964a520ac7236e3,Lot Less Closeouts,Discount Store
81,4a739e29f964a520f5dc1fe3,57655be738faa66160da7527,Starbucks,Coffee Shop
82,4a739e29f964a520f5dc1fe3,4e38a2cfbd415d9f63d71183,Dunkin',Donut Shop
83,4a739e29f964a520f5dc1fe3,4e3433a2483b5fa58754ba8c,Inwood Hills Spirits And Wine Room,Wine Shop
84,4a739e29f964a520f5dc1fe3,5631194e498e2de074de661c,Vitamin Shoppe,Supplement Shop
85,4a739e29f964a520f5dc1fe3,4bd1ecfab221c9b61a85d6d0,Riverdale Vintner,Wine Shop
86,4a739e29f964a520f5dc1fe3,49d73e8ff964a5201f5d1fe3,Starbucks,Coffee Shop
87,4a739e29f964a520f5dc1fe3,4c8bcf32509e370438612d55,Leila's Hand Dipped Chocolate,Candy Store
88,4a739e29f964a520f5dc1fe3,4b0dc4abf964a520b64f23e3,Metro North - Spuyten Duyvil Train Station,Train Station
89,4a739e29f964a520f5dc1fe3,4e4ce4debd413c4cc66d05d0,Subway,Sandwich Place
90,4a739e29f964a520f5dc1fe3,4b821f5ef964a5200ecb30e3,Foodtown of Riverdale,Grocery Store
91,4a739e29f964a520f5dc1fe3,4e4e4517bd4101d0d7a67568,Baskin-Robbins,Ice Cream Shop
92,4a739e29f964a520f5dc1fe3,4b2520e6f964a520a56c24e3,Columbia Florist,Flower Shop
93,4a739e29f964a520f5dc1fe3,4befee5dd4e4d13addab15a7,Bagel Corner,Bagel Shop
94,4a739e29f964a520f5dc1fe3,4db45c96fa8c350240e35919,Metate,Mexican Restaurant
95,4a739e29f964a520f5dc1fe3,4b88e053f964a5208a1132e3,Rite Aid,Pharmacy
96,4a739e29f964a520f5dc1fe3,4dfe40df8877333e195b68fc,Parrilla Latina,Steakhouse
97,4a739e29f964a520f5dc1fe3,4b4f7b65f964a5205a0827e3,Subway,Sandwich Place
98,4b4c90d3f964a52046b626e3,4c9205941adc370460a134d1,Zeppieri & Sons Italian Bakery,Bakery
99,4b4c90d3f964a52046b626e3,4c249bffa852c9285f52e36c,Empire Bagels,Bagel Shop
100,4b4c90d3f964a52046b626e3,4bcfa0dc046076b0d9c46e71,George's Restaurant,Diner
101,4b4c90d3f964a52046b626e3,4aea55fdf964a52018bb21e3,Pruzzo's,Deli / Bodega
102,4b4c90d3f964a52046b626e3,4c9e1ef2542b224b70a3f09f,Lucca Italian Restaurant,Italian Restaurant
103,4b4c90d3f964a52046b626e3,4bad4cebf964a520b8433be3,Mexico Magico Restaurant,Mexican Restaurant
104,4b4c90d3f964a52046b626e3,4bad3ad4f964a520cc3b3be3,Crosby Pizza,Pizza Place
105,4b4c90d3f964a52046b626e3,4e824f2c55037c6fb2274fa2,Bases Loaded,Sports Bar
106,4b4c90d3f964a52046b626e3,4c34cd764308b713a787c430,Pelham Bake Shop,Bakery
107,4b4c90d3f964a52046b626e3,58ec6b4001f0777e49e4d2a5,iLoveKickboxing,Gym
108,4b4c90d3f964a52046b626e3,4bbfc5a974a9a5935519cff6,Sushi Q,Sushi Restaurant
109,4b4c90d3f964a52046b626e3,462d15a3f964a520e7451fe3,Planet Fitness,Gym / Fitness Center
110,4b4c90d3f964a52046b626e3,4c1a6b7ab9f876b0dca17846,Shangri-La,Asian Restaurant
111,4b4c90d3f964a52046b626e3,4bca37c5cc8cd13a1f42bdcf,Franks Pizza,Pizza Place
112,4b4c90d3f964a52046b626e3,4b4a4e86f964a5203f8326e3,Key Food,Supermarket
113,4b4c90d3f964a52046b626e3,4b85b6b3f964a5209b6e31e3,Giovanni's Italian Restaurant,Italian Restaurant
114,4b4c90d3f964a52046b626e3,50dca264e4b065709fe0ca08,Juice Me,Juice Bar
115,4b4c90d3f964a52046b626e3,4c8509cfd4e2370470c67e88,Pelham Bay Park Outdoor Track,Track
116,4b4c90d3f964a52046b626e3,4ba92d21f964a5209e113ae3,Dunkin',Donut Shop
117,4b4c90d3f964a52046b626e3,4c548ea230f92d7f331facba,Pelham Bay Park (Rice Stadium),Park
118,4b4c90d3f964a52046b626e3,54932887498ee0902b1ed511,Residence Inn by Marriott New York The Bronx at Metro Center Atrium,Hotel
119,4b4c90d3f964a52046b626e3,4cc221ee91413704611db255,Shamrock Inn,Bar
120,4b4c90d3f964a52046b626e3,53d1b12d498ea039475dec73,LA Fitness,Gym
121,4b4c90d3f964a52046b626e3,4d83bbe681fdb1f7c779edbf,Pelham Bay Park ( Dog Run ),Dog Run
122,4b4c90d3f964a52046b626e3,4b59e9e7f964a5207fa028e3,Chirping Chicken,BBQ Joint
123,4b4c90d3f964a52046b626e3,5dd96cf8de17f80008683059,Walgreens,Pharmacy
124,4b4c90d3f964a52046b626e3,4b634812f964a520936f2ae3,Vito's Deli,Italian Restaurant
125,4b4c90d3f964a52046b626e3,4dd32da12271b8c5954b6856,Pelham Bay Mini Mart,Convenience Store
126,4b4c90d3f964a52046b626e3,4b5f7736f964a520febb29e3,Lehigh Wines & Liquors,Food & Drink Shop
127,4b4c90d3f964a52046b626e3,4b990f47f964a520a55e35e3,SUBWAY / Convenient Store,Sandwich Place
128,4b4c90d3f964a52046b626e3,4c8b90191797236a01f46b88,Pelham Delite Bakery,Bakery
129,4b4c90d3f964a52046b626e3,4c34fd607cc0c9b63249f49a,Chase Bank,Bank
130,4b4c90d3f964a52046b626e3,4be385641dd22d7f370897bd,WSPT,Medical Center
