,Borough,Neighborhood,ID,Name,Venue_lat,Venue_lng,Likes,Rating,Tips,Price_message,Price_tier
0,Bronx,Riverdale,4b94a4a2f964a520787f34e3,Nam Thai,40.886388,-73.910025,3,7.1,5,Moderate,2
1,Manhattan,Marble Hill,4a739e29f964a520f5dc1fe3,Siam Square,40.8787962348852,-73.91670090763066,15,7.3,13,Moderate,2
2,Bronx,Country Club,4b4c90d3f964a52046b626e3,Honey's Thai Pavilion,40.84784479852375,-73.83131988215105,19,7.3,27,Cheap,1
3,Bronx,Parkchester,5585c948498e0bd8a8a706f1,Thai Cuisine,40.838048,-73.863917,17,7.2,1,Moderate,2
4,Bronx,Pelham Bay,0,0,40.85139465332031,-73.84365844726562,0,0.0,0,Moderate,2
5,Bronx,Pelham Bay,0,0,40.851394,-73.843808,0,0.0,0,Moderate,2
6,Brooklyn,Bay Ridge,50e8d45ae4b06202fbe39b08,Top Thai,40.62323607887372,-74.02817264059681,14,7.2,11,Moderate,2
7,Brooklyn,Sunset Park,4accd335f964a520a8c920e3,Mai Thai,40.642773188863394,-74.00200987323561,10,6.6,9,Moderate,2
8,Brooklyn,Flatbush,593b1eabfc9e940adf8a5da1,Mondayoff By Plant Love House,40.63915760197772,-73.96881082984439,24,7.5,10,Moderate,2
9,Brooklyn,Crown Heights,596ffbcadee77066f36be772,Ruammit Thai,40.67314620843703,-73.95020548637376,26,8.5,6,Moderate,2
10,Brooklyn,Kensington,54daa265498e58e310cae373,Sawasde Thai Cooking,40.645311,-73.979805,19,8.5,5,Moderate,2
11,Brooklyn,Kensington,5bbf7c31418686002c49a6a1,Thai Farm Kitchen,40.64414842434787,-73.97604655841916,36,8.9,13,Moderate,2
12,Brooklyn,Kensington,4b36a0f5f964a5207b3925e3,To Be Thai,40.642891374675024,-73.97833412411897,17,7.9,16,Moderate,2
13,Brooklyn,Kensington,4f235fb4e4b04f6e681be393,AM Thai Bistro,40.646809999999995,-73.9701623,96,7.9,53,Moderate,2
14,Brooklyn,Windsor Terrace,50856d05e4b0ee1f10c48013,Jai Dee Thai Restaurant,40.66407001703927,-73.98396326318215,23,7.5,4,Moderate,2
15,Brooklyn,Prospect Heights,56773ac0498e301585915c6f,LOOK by Plant Love House,40.6799414586479,-73.96432512199156,175,8.5,47,Cheap,1
16,Brooklyn,Prospect Heights,57117904498eea6297e41d0a,Muse,40.67659358164728,-73.96350255226993,44,7.8,7,Moderate,2
17,Brooklyn,Prospect Heights,58fe480bda708012683cda5f,Nourish Thai Food Oasis,40.67798236449783,-73.96868742422106,54,7.9,12,Moderate,2
18,Brooklyn,Williamsburg,5df175e82276e2000744dc8b,Noods n’ Chill,40.711936,-73.961077,26,8.4,6,Moderate,2
19,Brooklyn,Bushwick,5af62c30d807ee002cb0d322,Klom Klorm,40.7030253107186,-73.9170906082932,66,8.7,14,Moderate,2
20,Brooklyn,Brooklyn Heights,476f8da1f964a520044d1fe3,Lantern Thai Kitchen,40.69516848345413,-73.99562112798172,155,7.7,73,Moderate,2
21,Brooklyn,Brooklyn Heights,568f0a26498e56870db2c2ce,Pinto,40.694758432958814,-73.994280065657,48,7.6,17,Moderate,2
22,Brooklyn,Cobble Hill,4112ca00f964a520ed0b1fe3,Joya,40.68670796457312,-73.99371822043527,317,8.2,160,Moderate,2
23,Brooklyn,Carroll Gardens,59985da3da5e5606a926b53d,Ugly Baby,40.67801930527555,-73.99613921080501,299,8.8,77,Moderate,2
24,Brooklyn,Carroll Gardens,5a959bf0646e38268740806b,Boran,40.678160889841436,-73.9979304582126,31,8.2,9,Moderate,2
25,Brooklyn,Red Hook,5dd9e8cf2e6b8600081ec98d,Somtum Der,40.67707,-74.013306,11,8.4,1,Moderate,2
26,Brooklyn,Fort Greene,54ea1fc3498e51bac940c79e,Thaiholic,40.69323256143289,-73.97129868016181,75,8.6,29,Moderate,2
27,Brooklyn,Fort Greene,5be3751ed552c7002cfb65ca,Ace Thai Kitchen,40.69313,-73.973225,9,8.3,3,Moderate,2
